5656,1886,1234,1535,1532,1169,1238,818,1508,1414,999,1642,1352,1256,1448,1667,951,1327,1154,1621,1391,1308,1427,1848,1353,2193,2335,1546,2191,1529,2016,2023,1155,2006,2107,1330,2030,1574,1076,1445,952,1422,1559,1136,1401,1800,951,1406,1059,1067,1585,1132,1461,1802,1043,1524,1521,1032,1675,1290,3945,53829,2214,0
2600,1805,2400,1703,1710,2430,2089,1437,1732,1490,1942,1645,1874,1629,1294,1619,1307,1514,1240,1522,1584,2107,1436,1550,1550,2113,1988,2870,3877,3036,2842,2901,3819,3027,2354,2821,3787,2997,2287,2520,1590,1249,1170,1523,1529,1548,1317,1648,1233,1340,1273,1939,2499,2226,3239,2861,2379,16924,3900,4082,40409,89086,0,2214
77040,62608,51485,36275,27853,16654,15707,16563,17202,15612,15142,15638,17325,17799,16803,17881,18561,20791,14552,19779,17284,20257,17083,20358,17205,16781,14658,16225,17811,15800,15208,17244,16834,15333,14567,16675,18320,16132,15914,20565,17450,17409,16220,19557,18018,17044,17432,20979,17899,18764,17145,17859,17184,21834,32877,42029,75520,125420,73234,165760,360266,0,89086,53829
61507,49897,38275,23909,17943,13406,15572,16058,16037,15354,14803,14134,16348,14737,14071,16270,17419,17668,16120,18377,15399,16942,14584,19226,15810,16526,16058,16482,15017,16517,15516,16510,16108,16471,16004,15689,14932,16254,14653,15502,15176,18034,14420,16127,13784,17019,15500,15476,15079,17801,15198,16545,18843,26842,37708,65937,107072,163591,160904,351369,0,360266,40409,3945
51362,40797,26929,17094,14691,13282,13973,12486,13771,13904,12916,13616,12815,12804,12711,13293,16088,17475,15155,15934,15004,15600,13764,14589,13774,16579,13268,14364,14659,14766,13274,14076,15543,15657,14464,14614,16347,15152,13336,14243,14715,15885,13634,16585,14477,16165,11766,15737,15024,15701,13597,22067,28858,35018,61857,94396,143821,235755,351587,0,351369,165760,4082,1290
39025,28032,18712,16701,14129,15457,12306,12109,13481,13102,11692,13995,12540,13276,11762,11804,13490,12946,10994,14369,12823,13826,11714,13975,12871,13299,11236,13053,13228,12835,13296,12796,12606,12376,12961,12352,13462,12376,12914,12485,11459,11922,11977,13421,12536,13250,11923,13979,11247,13149,16809,23527,32457,67277,96820,142127,229055,395308,0,351587,160904,73234,3900,1675
37843,26130,21796,18158,16979,15710,16259,16213,15562,14860,16669,14862,16664,16343,15061,16623,15836,14518,14289,16248,13353,17300,14325,16236,14215,16243,13962,15900,14729,16322,15044,14661,15176,15780,14399,14123,15467,15793,15368,14851,15519,15598,14015,15531,15673,16545,15868,15522,14629,22599,28178,36588,76068,120693,162413,275581,452405,0,395308,235755,163591,125420,16924,1032
19980,23375,18111,16292,16112,13701,15148,13901,15429,14342,13466,12452,14935,13037,15020,13721,14753,15943,12816,13910,13218,14654,12127,14991,14211,15722,13057,13560,13439,14547,13314,13367,13688,15353,13413,14190,13464,14302,13344,13953,14420,15471,11985,13729,12640,13851,12485,13484,17786,25750,30666,69777,119175,165637,275012,449906,0,452405,229055,143821,107072,75520,2379,1521
20955,22318,19098,18677,15181,14378,13480,12637,14360,13601,12929,12937,14030,13394,13046,12151,16156,15568,12448,14639,13660,14492,13022,13754,14084,15788,13371,15266,14246,14172,13542,13835,13311,13599,13476,13908,13613,13745,12936,13636,14037,13802,13533,14993,12407,15339,12602,20386,26877,35333,73379,117593,164482,276218,456448,0,449906,275581,142127,94396,65937,42029,2861,1524
21306,19684,18385,16136,13048,15208,12098,12793,13311,12618,12931,13664,12787,13514,12546,12659,13920,12200,13643,13528,11167,13847,12663,12422,11682,13063,12483,13877,11576,13822,13236,11825,11480,12489,13770,11840,12871,13363,13536,11439,12425,12615,12694,11450,12436,13963,15406,22411,30027,69931,114397,160757,273778,447186,0,456448,275012,162413,96820,61857,37708,32877,3239,1043
22159,20027,18187,15752,14743,14092,14617,12695,11767,12443,13502,11557,12109,12201,13998,12226,12963,12982,13446,11203,12220,14883,12002,13415,11902,13342,12263,12894,11236,14768,12949,13150,12333,12492,11116,12237,12409,12084,12266,12246,12519,12128,11496,12682,12210,17451,25894,34297,71308,116356,162728,273771,453966,0,447186,276218,165637,120693,67277,35018,26842,21834,2226,1802
21091,19188,15613,13941,14257,12333,12080,12435,12354,12584,11913,11102,13300,10942,12686,11933,14099,13592,12760,11667,13398,11550,11358,13102,10440,11837,12184,12930,10669,11356,11198,13438,11024,11921,12147,12737,9845,12526,12380,12485,10907,12742,12420,12260,14400,22451,30402,68398,114342,162904,274715,446567,0,453966,273778,164482,119175,76068,32457,28858,18843,17184,2499,1461
20818,21190,16428,16555,12669,12416,13873,14232,12912,12389,12816,13973,10221,10790,13804,12147,11859,13153,13586,14119,11136,11662,13098,12428,12098,13746,12681,13872,12924,12988,13151,13365,11423,13881,12509,12033,12558,12942,10831,12483,12435,12502,12299,17575,26187,32863,70805,117330,162313,270418,454322,0,446567,273771,160757,117593,69777,36588,23527,22067,16545,17859,1939,1132
22688,20627,17515,15296,12791,13930,12944,11562,12454,12631,12301,12355,12521,12811,12079,11857,13776,12903,12652,13391,12343,13830,11705,11846,12107,11101,10682,13461,11852,12229,11536,12494,11290,11334,10631,11906,11806,11793,12691,12431,10999,11165,17070,22056,31747,66676,114771,162785,272551,442171,0,454322,274715,162728,114397,73379,30666,28178,16809,13597,15198,17145,1273,1585
